Designator,Mid X,Mid Y,Layer,Rotation
C1,486.9,518.3,Top,0
C2,478.4,518.3,Top,0
C3,482.6,518.3,Top,0
C4,506.2,509.4,Top,0
C5,512.4,522.4,Top,0
C6,491.2,518.2,Top,180
C7,491.3,511.5,Top,0
C8,491,524.6,Top,0
C9,516,515.6,Top,180
C10,516.1,508.5,Top,180
C12,471.8,513.2,Top,90
LED1,494.6,503.1,Top,180
LED2,500.7,503,Top,180
LED3,510.7,503.3,Top,180
R1,494.6,507.5,Top,90
R2,500.7,507.8,Top,90
R3,530.2,516.3,Top,0
R4,530.5,509.5,Top,0
R5,510.7,508.3,Top,270
R6,475,525.9,Top,180
R7,475,522.2,Top,180
IC2,522.61,516.53,Top,0
IC3,522.61,509.15,Top,0
D1,472.9,477.6,Top,0
IC1,500.8,519.4,Top,0
C13,484.2,502.96,Top,0
C14,484.2,508.2,Top,0
C11,471.9,489.8,Top,90
X1,481.6,523.7,Top,0
